rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
1,The Ballad of Songbirds and Snakes,,2020,AUDIOBOOK,9.78134E+12,"Children's, Sci-Fi & Fantasy",Scholastic Audiobooks,Suzanne Collins,,FALSE,7,2.69,TRUE
2,Unfu*k Yourself,,2017,AUDIOBOOK,9.78006E+12,Self Help,HarperAudio,Gary John Bishop,,FALSE,3,2.99,FALSE
3,On the Edge of the Dark Sea of Darkness,,2008,AUDIOBOOK,9.78161E+12,Fiction,Oasis Audio,Andrew Peterson,,FALSE,3,1.69,FALSE
4,Percy Jackson and the Olympians: The Lightning Thief,,2013,COMIC,9.78142E+12,,Disney Book Group,Rick Riordan,E,FALSE,3,,TRUE
5,Liturgy of the Ordinary,,2016,AUDIOBOOK,9.78168E+12,Religious,christianaudio.com,Tish Harrison Warren,,FALSE,3,1.44,FALSE
6,The Engineer's Wife,,2020,EBOOK,9.78149E+12,"Biographical, Fiction, Historical, Literary, Women",Sourcebooks Inc,Tracey Enerson Wood,,FALSE,3,0.99,FALSE
7,Wrecking Ball,,2019,EBOOK,9.78168E+12,"Comics & Graphic Novels, Humorous Stories, Juvenile Fiction",Abrams,Jeff Kinney,,FALSE,2,0.69,TRUE
8,Follow The Leader,,2019,AUDIOBOOK,9.78736E+12,Business,BN Publishing,John Maxwell,,FALSE,2,1.29,FALSE
9,Don't Let The Pigeon Stay Up Late,,2011,MOVIE,,Children's,Weston Woods,Mo Willems,NRC,FALSE,2,0.99,TRUE
10,Autopsy of a Boring Wife,,2019,EBOOK,9.78149E+12,"Family Life, Fiction, Humorous, Literary",House of Anansi Press Inc,Marie-Renee Lavoie,,FALSE,2,1.49,FALSE
11,Second Chance Pass,,2013,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance, Women",MIRA Books,Robyn Carr,,FALSE,2,1.54,FALSE
12,The Waterhole,Mystery Road - Season 1,2019,TELEVISION,,"Crime, Mystery",Acorn,Aaron Pedersen,NRA,FALSE,2,1.99,FALSE
13,Chasing Ghosts,Mystery Road - Season 1,2019,TELEVISION,,"Crime, Mystery",Acorn,Aaron Pedersen,NRA,FALSE,2,1.99,FALSE
14,Gone,Mystery Road - Season 1,2019,TELEVISION,,"Crime, Mystery",Acorn,Aaron Pedersen,NRA,FALSE,2,1.99,FALSE
15,Silence,Mystery Road - Season 1,2019,TELEVISION,,"Crime, Mystery",Acorn,Aaron Pedersen,NRA,FALSE,2,1.99,FALSE
16,If I Never Met You,,2020,AUDIOBOOK,9.78006E+12,"Comedy, Romance",HarperAudio,Mhairi McFarlane,,FALSE,2,2.99,FALSE
17,Virgin River,,2019,EBOOK,9.78149E+12,"Contemporary, Fiction, Romance, Small Town & Rural, Women",MIRA Books,Robyn Carr,,FALSE,2,1.69,FALSE
18,Safe Haven,,2013,MOVIE,,"Drama, Romance",Relativity,Julianne Hough,PG13,FALSE,2,2.99,FALSE
19,Chasing the Dime,,2005,AUDIOBOOK,9.78159E+12,Action & Adventure,Hachette Audio,Michael Connelly,,FALSE,2,3.29,FALSE
20,Blood Ties,Mystery Road - Season 1,2019,TELEVISION,,"Crime, Mystery",Acorn,Aaron Pedersen,NRA,FALSE,2,1.99,FALSE
21,The Bad Seed,,2019,AUDIOBOOK,9.78006E+12,"Children's, Fiction",HarperCollins,Jory John,,FALSE,2,0.49,TRUE
22,A  Midsummer Night's Dream,,1997,AUDIOBOOK,9.78963E+12,Classics,Naxos,William Shakespeare,,FALSE,2,,FALSE
23,The 5 Love Languages of Children,,2016,AUDIOBOOK,9.78162E+12,Christian Living,Oasis Audio,Gary Chapman,,FALSE,2,,FALSE
24,A Virgin River Christmas,,2018,EBOOK,9.78149E+12,"Contemporary, Fiction, Holiday, Romance, Small Town & Rural",MIRA Books,Robyn Carr,,FALSE,2,1.69,FALSE
25,O Pioneers!,,2013,AUDIOBOOK,9.78163E+12,Drama,"Dreamscape Media, LLC",Willa Cather,,FALSE,2,,FALSE
