rank,title,titleTitle,year,kind,isbn,genres,publisher,primaryPerson,rating,parentalAdvisory,circs,price,kids mode
1,The Yellow House,,2019,EBOOK,9.7808E+12,"Biography & Autobiography, Personal Memoirs",Grove Atlantic,Sarah M. Broom,,FALSE,4,2.49,FALSE
2,Stamped from the Beginning,,2017,AUDIOBOOK,9.78152E+12,History,Novel Audio,Ibram X. Kendi,,FALSE,4,2.99,FALSE
3,The Ballad of Songbirds and Snakes,,2020,AUDIOBOOK,9.78134E+12,"Children's, Sci-Fi & Fantasy",Scholastic Audiobooks,Suzanne Collins,,FALSE,3,2.69,TRUE
4,Let Justice Roll Down,,2017,AUDIOBOOK,9.78162E+12,Religious,Oasis Audio,John M. Perkins,,FALSE,3,1.49,FALSE
5,So You Want to Talk about Race,,2018,AUDIOBOOK,9.78198E+12,Nonfiction,Blackstone Publishing,Ijeoma Oluo,,FALSE,2,2.49,FALSE
6,Me and White Supremacy,,2020,EBOOK,9.78173E+12,"Discrimination, Family & Relationships, Motivational & Inspirational, Prejudice, Self-help, Social Science",Sourcebooks Inc,Layla Saad,,FALSE,2,0.99,FALSE
7,Ella Enchanted,,2004,MOVIE,,"Comedy, Family, Sci-Fi & Fantasy",Miramax,Anne Hathaway,PG,FALSE,2,2.98,TRUE
8,The Henna Artist,,2020,AUDIOBOOK,9.78149E+12,Fiction,Harlequin Audio,Alka Joshi,,FALSE,2,3.99,FALSE
9,Lies My Teacher Told Me,,2018,EBOOK,9.78162E+12,"Education, History, History, United States",The New Press,James W. Loewen,,FALSE,2,1.69,FALSE
10,Emma,,1996,MOVIE,,"Comedy, Romance",Miramax,Gwyneth Paltrow,PG,FALSE,2,2.98,FALSE
11,Stealing Home,,2020,AUDIOBOOK,9.78166E+12,Romance,"Dreamscape Media, LLC",Sherryl Woods,,FALSE,2,2.99,FALSE
12,Duckling Gets a Cookie!?,,2014,MOVIE,,"Children's, Comedy","Weston Woods Studios, Inc",Mo Willems,NRC,FALSE,2,0.99,TRUE
13,Catching Fire,,2019,AUDIOBOOK,9.78134E+12,"Sci-Fi & Fantasy, Teen",Scholastic,Suzanne Collins,,FALSE,2,2.29,FALSE
14,Appalachian Trail,,2009,MOVIE,,"Nature, Science, Travel",National Geographic,,NRC,FALSE,2,0.99,FALSE
15,Forever,,2016,MOVIE,,Romance,Princ Films,Ivan Botha,NRT,FALSE,2,1.99,FALSE
16,Welcome to Republic City,Legend of Korra - Season 1,2012,TELEVISION,,Children's,Nickelodeon,,TVY7,FALSE,2,1.99,TRUE
17,Under the Christmas Tree,,2017,EBOOK,9.78149E+12,"Contemporary, Fiction, Holiday, Romance, Short Stories (single Author), Small Town & Rural",MIRA Books,Robyn Carr,,FALSE,2,0.84,FALSE
18,A Leaf in the Wind,Legend of Korra - Season 1,2012,TELEVISION,,Children's,Nickelodeon,,TVY7,FALSE,2,1.99,TRUE
19,Paradise Valley,,2014,EBOOK,9.78146E+12,"Contemporary, Fiction, Romance",MIRA Books,Robyn Carr,,FALSE,2,1.54,FALSE
20,Wild at Heart,,2009,AUDIOBOOK,9.78142E+12,Religious,Thomas Nelson,John Eldredge,,FALSE,2,2.99,FALSE
21,The Very Best Of Arthur Lyman (The Sensual Sounds Of Exotica),,2014,MUSIC,,Pop,"Varese Sarabande Records, Inc.",Arthur Lyman,,FALSE,1,1.49,FALSE
22,A Demon Summer,,2014,AUDIOBOOK,9.78163E+12,Mystery,"Dreamscape Media, LLC",G. M. Malliet,,FALSE,1,2.99,FALSE
23,Bad Hair Day,,2014,AUDIOBOOK,9.78134E+12,Children's,Scholastic,Sarah Mlynowski,,FALSE,1,1.29,TRUE
24,Little Women,,2014,AUDIOBOOK,9.78163E+12,Classics,"Dreamscape Media, LLC",Louisa May Alcott,,FALSE,1,2.99,FALSE
25,American Beauty/American Psycho,,2015,MUSIC,,Alternative,"Island Records, a division of UMG Recordings, Inc.",Fall Out Boy,,FALSE,1,1.49,FALSE
26,Primitiva,,1958,MUSIC,,Easy Listening,Capitol Records,Martin Denny,,FALSE,1,1.49,FALSE
27,Go Big,,2011,EBOOK,9.78141E+12,"Christian Living, Motivational & Inspirational, Personal Growth, Religion, Self-help","Tyndale House Publishers, Inc.",Cory Cotton,,FALSE,1,0.89,FALSE
